run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
191	168.0	155.0	145.0	161.35	9.2053125	7.124712499999999
320	175.0	166.0	162.0	179.23	12.659825	9.04555
71	147.0	135.0	131.0	135.04	8.950725	6.86015
445	163.0	161.0	151.0	156.35	11.400400000000001	8.634274999999999
254	149.0	136.0	112.0	123.9	12.812125	9.481950000000001
281	168.0	155.0	153.0	154.94	12.082675	8.936875
353	157.0	151.0	150.0	155.2	11.582375	8.713575
359	157.0	149.0	136.0	141.58	8.589125	6.54025
41	176.0	162.0	152.0	158.76	12.375449999999999	8.968174999999999
323	149.0	132.0	119.0	122.37	8.213424999999999	6.3610500000000005
0	192.0	178.0	170.0	191.96	12.633575	9.0051
552	183.0	182.0	162.0	182.83	12.808824999999999	9.166374999999999
331	166.0	132.0	131.0	134.99	8.479125	6.488075
493	160.0	154.0	150.0	162.28	11.570175	8.716525
438	180.0	152.0	133.0	138.53	12.9114	9.4437
135	140.0	123.0	113.0	113.61	11.094725	7.2585999999999995
508	174.0	167.0	161.0	176.5	12.902449999999998	9.193000000000001
271	143.0	138.0	137.0	132.44	9.070125	6.990349999999999
10	150.0	132.0	129.0	126.16	13.435775000000001	9.58675
526	157.0	135.0	112.0	116.86	12.740025	9.394275
360	181.0	168.0	158.0	171.57	12.75325	9.095975
454	147.0	136.0	127.0	123.34	12.894075	9.4573
442	161.0	139.0	129.0	130.29	12.90525	9.500325
343	169.0	145.0	140.0	136.44	8.546275	6.5985
514	148.0	137.0	127.0	133.79	12.823400000000001	9.4705
51	151.0	136.0	120.0	124.78	9.639425	6.8115
364	185.0	178.0	164.0	184.38	13.059149999999999	9.271125000000001
55	167.0	153.0	148.0	156.0	8.90655	6.777424999999999
74	161.0	154.0	152.0	139.41	12.967825	9.587425
5	172.0	154.0	152.0	163.51	11.947175	8.721325
267	153.0	138.0	127.0	126.5	9.43285	6.883100000000001
358	148.0	127.0	105.0	113.59	12.93265	9.424225
494	163.0	147.0	133.0	134.34	12.87425	9.404900000000001
446	144.0	124.0	111.0	118.66	12.984675	9.49685
334	162.0	137.0	106.0	113.62	12.8476	9.39915
101	176.0	157.0	152.0	148.63	12.26665	9.128375
411	153.0	137.0	135.0	133.89	8.902625	6.698925
528	206.0	164.0	158.0	180.29	12.824549999999999	9.131025
465	159.0	152.0	150.0	153.29	11.394225	8.651475000000001
295	146.0	132.0	128.0	130.97	8.333549999999999	6.422225
346	154.0	126.0	121.0	124.7	12.842225	9.416525
428	177.0	167.0	158.0	185.36	12.99305	9.272175
462	137.0	125.0	103.0	115.86	12.81335	9.412375
482	136.0	120.0	113.0	115.36	12.820675	9.39715
314	119.0	108.0	96.0	108.24	13.248650000000001	9.49405
342	153.0	127.0	111.0	128.99	13.112675	9.542725
379	141.0	140.0	129.0	136.92	8.7818	6.768174999999999
144	220.0	178.0	161.0	182.91	12.6355	9.006175
141	160.0	149.0	146.0	145.56	12.11345	8.97585
413	169.0	158.0	153.0	157.22	11.804775	8.9542
114	114.0	96.0	80.0	101.54	12.75145	9.2688
550	157.0	137.0	135.0	135.08	12.738150000000001	9.43995
91	198.0	185.0	158.0	167.71	9.459725	7.17025
333	164.0	160.0	154.0	157.1	11.530525	8.719899999999999
244	212.0	168.0	159.0	171.63	13.121225	9.386825
519	160.0	151.0	139.0	142.27	8.540725	6.57535
74	186.0	180.0	171.0	186.4	12.6854	9.0442
216	177.0	166.0	157.0	183.76	12.965074999999999	9.273625
484	182.0	167.0	162.0	180.87	12.787099999999999	9.090300000000001
100	153.0	149.0	144.0	152.71	13.09675	9.190325
220	178.0	167.0	159.0	178.63	12.9769	9.144074999999999
572	197.0	176.0	156.0	188.26	12.763375	9.09485
260	186.0	158.0	150.0	167.73	12.780825	9.127175
432	171.0	161.0	158.0	190.14	12.68815	9.086075
248	189.0	167.0	155.0	163.7	12.906775	9.198525
456	219.0	181.0	166.0	189.19	12.77225	9.13275
404	167.0	165.0	153.0	169.61	12.683125	9.030825
564	188.0	170.0	161.0	186.55	12.828725	9.119125
516	195.0	163.0	159.0	177.05	12.72935	9.053525
