run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
140	61.0	51.0	50.0	56.75	5.62395	5.292199999999999	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	False
397	63.0	52.0	48.0	55.05	5.48725	5.1735	0.025	-0.025	5	5	0	0.0	0.9	1.5	False	2.0	2.0	True
10219	58.0	46.0	44.0	52.5	7.5798000000000005	6.3911999999999995	0.02	-0.02	10	10	1	0.9	0.8	1.5	True	3.0	1.0	True
16118	65.0	47.0	45.0	51.34	4.5897	4.70045	0.015	-0.015	5	5	1	0.5	0.5	1.5	True	2.0	3.0	False
18367	53.0	47.0	43.0	48.57	5.2477	5.22725	0.015	-0.015	25	25	0	0.0	0.8	1.0	True	1.0	3.0	True
26198	50.0	48.0	45.0	48.03	5.66165	5.2953	0.01	-0.01	25	25	0	0.0	0.8	1.5	True	2.0	3.0	False
10879	55.0	46.0	44.0	47.58	4.4772	5.0133	0.02	-0.02	25	25	1	0.5	0.5	1.0	True	1.0	3.0	True
1223	54.0	46.0	43.0	46.7	4.57855	4.3002	0.025	-0.025	5	5	1	0.9	0.9	1.0	False	3.0	3.0	True
1864	47.0	43.0	41.0	46.44	6.722799999999999	5.73175	0.025	-0.025	10	10	1	0.5	0.5	1.5	True	3.0	0.5	False
10741	50.0	46.0	39.0	46.28	5.442349999999999	5.2066	0.02	-0.02	25	25	0	0.0	0.9	1.0	True	2.0	2.0	True
19230	47.0	43.0	42.0	45.99	4.9752	4.99575	0.015	-0.015	25	25	1	0.9	0.8	1.0	True	1.0	3.0	False
10051	48.0	48.0	43.0	45.65	10.47205	7.335800000000001	0.02	-0.02	10	10	1	0.9	0.5	1.5	False	3.0	1.0	True
