run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLlenhebb	STDP-RL:AMPA:RLlenanti	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:loc	critic:biases:vel	critic:biases:ang	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	sim:normalizeByGainControlValue
310477	39.0	35.0	32.0	32.78	3.5383000000000004	3.9686999999999997	153	153	0.01	-0.01	45	45	1	0.5	1.0	1.0	1.0	0.25	0.25	False	2.0	0.2	0.0002
407449	34.0	30.0	28.0	32.03	3.351	3.7136000000000005	204	204	0.02	-0.02	25	25	1	0.5	1.0	1.0	1.0	2.0	2.0	False	1.0	0.2	0.0002
217821	36.0	30.0	28.0	31.74	3.26945	3.9547	153	153	0.025	-0.025	65	65	1	0.9	0.5	0.0	0.0	0.5	0.5	False	2.0	2.0	0.0001
46766	40.0	31.0	27.0	31.71	4.88715	4.72675	51	51	0.025	-0.025	65	65	1	0.5	0.8	1.0	1.0	0.5	0.5	True	1.0	0.2	0.0004
156701	36.0	33.0	31.0	31.6	4.0070500000000004	4.18325	51	51	0.01	-0.01	65	65	1	0.5	0.8	0.0	0.0	0.25	0.25	False	2.8	0.5	0.0004
259512	35.0	31.0	28.0	31.43	3.16805	3.8787999999999996	153	153	0.02	-0.02	45	45	1	0.9	0.5	0.5	0.5	0.25	0.25	False	2.8	0.2	0.0001
477840	40.0	33.0	29.0	31.21	3.1207000000000003	3.8322499999999997	204	204	0.01	-0.01	45	45	1	0.8	0.5	2.0	2.0	0.25	0.25	True	2.0	0.2	0.0001
584234	37.0	31.0	28.0	30.92	3.64825	3.99365	255	255	0.02	-0.02	45	45	1	0.5	0.5	0.0	0.0	1.0	1.0	False	2.8	0.2	0.0004
624494	37.0	29.0	28.0	30.88	4.015	4.1007	255	255	0.01	-0.01	25	25	0	0.0	1.0	0.0	0.0	0.5	0.5	True	1.0	0.2	0.0004
311761	33.0	32.0	30.0	30.87	3.3295000000000003	3.95155	153	153	0.01	-0.01	45	45	1	0.8	0.5	1.0	1.0	1.0	1.0	False	1.0	0.2	0.0002
202887	33.0	29.0	28.0	30.85	3.3656999999999995	3.8939	153	153	0.025	-0.025	45	45	1	0.8	1.0	0.0	0.0	0.5	0.5	True	2.8	0.5	0.0001
634938	39.0	31.0	29.0	30.81	2.98005	3.5833500000000003	255	255	0.01	-0.01	25	25	1	0.9	1.0	0.0	0.0	1.0	1.0	True	1.0	1.0	0.0001
310896	35.0	30.0	28.0	30.51	3.3175	3.8658499999999996	153	153	0.01	-0.01	45	45	1	0.5	1.0	2.0	2.0	1.0	1.0	False	1.0	0.2	0.0001
87877	38.0	29.0	28.0	29.84	4.1144	4.3542000000000005	51	51	0.02	-0.02	45	45	1	0.5	0.8	0.5	0.5	0.25	0.25	True	1.0	0.2	0.0002
629681	33.0	29.0	26.0	29.6	3.22125	3.8284999999999996	255	255	0.01	-0.01	25	25	1	0.8	0.5	1.0	1.0	0.5	0.5	True	1.0	0.5	0.0004
404786	32.0	29.0	27.0	29.57	3.0654	3.84725	204	204	0.02	-0.02	25	25	1	0.5	0.5	0.5	0.5	1.0	1.0	False	1.0	0.2	0.0004
285025	35.0	29.0	27.0	29.49	2.6282	3.3607500000000003	153	153	0.01	-0.01	5	5	1	0.8	0.8	0.5	0.5	1.0	1.0	True	2.0	0.2	0.0002
245533	33.0	29.0	27.0	29.46	3.1772	3.8649500000000003	153	153	0.02	-0.02	25	25	1	0.9	0.5	0.0	0.0	1.0	1.0	False	2.0	0.2	0.0002
366522	35.0	31.0	28.0	29.46	2.6302499999999998	3.6877000000000004	204	204	0.025	-0.025	45	45	1	0.8	0.5	0.0	0.0	1.0	1.0	True	1.0	1.0	0.0001
281341	31.0	28.0	27.0	28.37	2.3634	3.1374	153	153	0.01	-0.01	5	5	1	0.5	0.8	0.0	0.0	2.0	2.0	True	1.0	0.2	0.0002
585613	35.0	26.0	24.0	28.13	3.1357500000000003	3.7014000000000005	255	255	0.02	-0.02	45	45	1	0.5	0.8	0.5	0.5	0.5	0.5	True	1.0	0.2	0.0002
502332	29.0	26.0	25.0	27.0	2.11045	2.91325	255	255	0.025	-0.025	5	5	1	0.5	0.8	0.0	0.0	0.25	0.25	True	2.8	0.2	0.0001
448202	27.0	25.0	24.0	26.86	2.6273	3.19165	204	204	0.01	-0.01	5	5	1	0.5	1.0	0.0	0.0	0.5	0.5	False	1.0	0.2	0.0004
563737	29.0	24.0	23.0	26.74	1.6816	2.37975	255	255	0.02	-0.02	5	5	1	0.9	0.5	0.5	0.5	0.5	0.5	True	2.0	0.2	0.0002
