run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
477840	40.0	33.0	29.0	31.21	3.1207000000000003	3.8322499999999997
181742	46.0	39.0	35.0	38.09	3.7889000000000004	4.0576
45371	36.0	32.0	32.0	34.6	4.80235	4.67335
396523	41.0	36.0	33.0	37.48	1.9574000000000003	2.6332
160264	38.0	31.0	30.0	34.51	3.7654000000000005	4.13225
598629	48.0	37.0	34.0	37.78	2.94555	3.72325
285327	38.0	33.0	33.0	35.57	2.7954	3.55465
311761	33.0	32.0	30.0	30.87	3.3295000000000003	3.95155
156701	36.0	33.0	31.0	31.6	4.0070500000000004	4.18325
285025	35.0	29.0	27.0	29.49	2.6282	3.3607500000000003
347166	44.0	42.0	38.0	39.7	3.1953	3.8706000000000005
202887	33.0	29.0	28.0	30.85	3.3656999999999995	3.8939
563737	29.0	24.0	23.0	26.74	1.6816	2.37975
479795	45.0	39.0	35.0	38.18	3.6246	3.9476
448202	27.0	25.0	24.0	26.86	2.6273	3.19165
569181	44.0	41.0	36.0	40.46	3.2573999999999996	3.8455500000000002
259512	35.0	31.0	28.0	31.43	3.16805	3.8787999999999996
487013	39.0	34.0	32.0	34.71	3.8563	4.0762
242882	42.0	40.0	36.0	37.2	3.7018	4.0387
46766	40.0	31.0	27.0	31.71	4.88715	4.72675
310896	35.0	30.0	28.0	30.51	3.3175	3.8658499999999996
648533	46.0	39.0	35.0	41.32	3.86695	4.10365
281341	31.0	28.0	27.0	28.37	2.3634	3.1374
513346	53.0	45.0	44.0	47.72	3.3618	3.89815
345053	42.0	40.0	38.0	41.06	3.17295	3.5491
629681	33.0	29.0	26.0	29.6	3.22125	3.8284999999999996
407449	34.0	30.0	28.0	32.03	3.351	3.7136000000000005
120383	42.0	39.0	38.0	42.21	3.4329500000000004	3.8241500000000004
502332	29.0	26.0	25.0	27.0	2.11045	2.91325
461118	41.0	34.0	33.0	35.15	3.1722	3.85935
552428	41.0	37.0	30.0	33.04	3.82965	3.8892499999999997
634938	39.0	31.0	29.0	30.81	2.98005	3.5833500000000003
87877	38.0	29.0	28.0	29.84	4.1144	4.3542000000000005
551491	45.0	33.0	32.0	36.04	3.2350499999999998	3.7719
632874	42.0	34.0	32.0	36.09	3.0521000000000003	3.7784500000000003
360744	47.0	33.0	33.0	35.75	3.1799	3.8558999999999997
622291	44.0	39.0	35.0	38.84	3.3140500000000004	3.93185
420035	54.0	47.0	41.0	46.94	3.8021000000000003	4.026400000000001
640761	45.0	38.0	38.0	40.14	3.12565	3.81575
29806	52.0	42.0	37.0	41.76	3.48605	3.8954999999999997
195974	36.0	32.0	29.0	33.06	3.90745	4.0692
245533	33.0	29.0	27.0	29.46	3.1772	3.8649500000000003
562137	46.0	42.0	40.0	43.04	2.2636	2.9663
217821	36.0	30.0	28.0	31.74	3.26945	3.9547
584234	37.0	31.0	28.0	30.92	3.64825	3.99365
114390	40.0	38.0	34.0	37.61	3.0375	3.7493499999999997
366522	35.0	31.0	28.0	29.46	2.6302499999999998	3.6877000000000004
603379	47.0	40.0	39.0	39.68	3.4751	3.85095
351246	49.0	41.0	40.0	44.47	3.44645	3.9796
404786	32.0	29.0	27.0	29.57	3.0654	3.84725
585613	35.0	26.0	24.0	28.13	3.1357500000000003	3.7014000000000005
624494	37.0	29.0	28.0	30.88	4.015	4.1007
329146	47.0	38.0	36.0	40.05	3.3215000000000003	3.9188
310477	39.0	35.0	32.0	32.78	3.5383000000000004	3.9686999999999997
471503	41.0	39.0	36.0	38.59	3.7253	4.048
581925	43.0	41.0	39.0	41.82	3.19575	3.8526499999999997
159679	37.0	34.0	31.0	35.3	3.747	4.13195
618443	59.0	42.0	41.0	44.4	3.9115	4.09465
171537	47.0	46.0	41.0	44.65	4.37415	4.2081
114734	35.0	31.0	29.0	32.87	3.3496	3.8094
155109	44.0	37.0	35.0	39.37	3.1806	3.8576500000000005
224396	52.0	43.0	41.0	45.29	3.9277	4.03725
138988	42.0	40.0	32.0	35.17	3.44185	3.9423000000000004
348328	43.0	39.0	36.0	38.58	3.5189999999999997	3.96055
