run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
2777	105.0	92.0	75.0	90.48	11.4251625	8.2713125
3329	136.0	118.0	107.0	122.75	7.5785875	5.7149125
19162	155.0	131.0	130.0	140.97	6.4343875	5.3797875
3173	100.0	88.0	71.0	81.89	8.12665	5.4960375
18028	179.0	145.0	131.0	147.28	8.6570625	6.7124250000000005
15201	113.0	100.0	80.0	92.96	9.836225	8.04645
17220	132.0	88.0	84.0	93.87	9.3231125	7.2479625
4076	133.0	124.0	90.0	106.67	10.4966375	8.1496625
1012	99.0	84.0	78.0	84.41	13.2734375	9.156975
8622	141.0	111.0	91.0	101.0	9.0402625	6.925025
10043	121.0	107.0	103.0	101.09	8.6083625	7.4677750000000005
16234	143.0	127.0	122.0	130.13	8.661137499999999	6.2307125
10497	108.0	99.0	94.0	109.65	7.584025	5.3902875
10460	131.0	108.0	92.0	106.07	8.643575	5.5482125
9316	172.0	131.0	120.0	135.2	8.0631375	6.8982375000000005
7111	160.0	122.0	111.0	119.27	7.134837500000001	5.4026375
5802	117.0	106.0	101.0	107.42	12.115375	8.5042875
5909	131.0	115.0	106.0	121.75	6.435525	4.6733125
2483	156.0	144.0	120.0	131.24	7.3991375	6.0765375
5760	114.0	94.0	87.0	105.95	10.6158625	7.54845
107	131.0	106.0	99.0	115.56	8.470925	5.5384625
4931	115.0	94.0	76.0	84.89	11.9926	8.5294625
13121	101.0	92.0	83.0	91.44	13.5602375	9.0581625
17249	142.0	126.0	118.0	120.26	7.239675	5.330725
5576	134.0	116.0	106.0	111.71	6.8569	4.96445
20666	130.0	102.0	97.0	109.12	7.744199999999999	5.665025
17542	141.0	122.0	103.0	119.32	6.1457250000000005	4.90465
19238	115.0	99.0	85.0	103.15	6.3280625	4.93705
10219	157.0	144.0	128.0	126.63	9.565949999999999	7.573099999999999
11999	133.0	126.0	120.0	123.87	6.5464	4.6856124999999995
463	128.0	91.0	73.0	91.52	15.242837499999998	9.0476875
7802	100.0	84.0	74.0	85.55	16.1446125	9.53
17426	140.0	119.0	112.0	124.03	6.2904	5.370175
18178	124.0	117.0	98.0	107.57	12.7688125	8.451825
19888	114.0	88.0	83.0	98.12	11.809075	8.066925000000001
1205	121.0	82.0	75.0	86.46	11.5247375	7.305750000000001
14403	117.0	100.0	93.0	102.13	9.259699999999999	7.2751375
5135	138.0	126.0	112.0	113.77	7.639562499999999	6.57755
169	126.0	110.0	97.0	112.0	7.5920625	5.3482
17104	123.0	102.0	98.0	113.73	7.4637875	5.2077125
15570	109.0	100.0	96.0	113.39	9.084412500000001	5.575475
7640	172.0	150.0	114.0	125.39	7.229737500000001	5.1015749999999995
733	161.0	121.0	108.0	124.43	8.9680375	7.41305
15522	138.0	129.0	122.0	116.84	8.104637499999999	5.9866624999999996
19915	121.0	93.0	86.0	101.7	10.102987500000001	7.527275
7771	131.0	120.0	100.0	98.7	9.613625	7.3491625
18244	137.0	123.0	103.0	110.82	11.705549999999999	8.4453
9036	136.0	112.0	106.0	115.55	6.251250000000001	5.0258375
11233	110.0	90.0	86.0	92.74	13.3933	7.998725
16410	137.0	127.0	113.0	108.83	8.492725	6.835112499999999
10329	127.0	104.0	77.0	88.55	9.9836625	8.6701125
18423	143.0	124.0	117.0	123.96	10.352225	7.7202625
18791	110.0	100.0	87.0	104.97	9.7882	7.0309124999999995
