run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
36	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	1.5	0.5
37	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	1.5	0.7
38	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	1.5	0.8
39	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	1.5	1.0
40	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.0	0.5
41	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.0	0.7
42	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.0	0.8
43	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.0	1.0
44	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.5	0.5
45	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.5	0.7
46	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.5	0.8
47	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.8	2.5	1.0
48	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	1.5	0.5
49	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	1.5	0.7
50	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	1.5	0.8
51	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	1.5	1.0
52	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	0.5
53	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	0.7
54	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	0.8
55	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.0	1.0
56	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.5	0.5
57	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.5	0.7
58	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.5	0.8
59	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	0.9	2.5	1.0
60	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	1.5	0.5
61	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	1.5	0.7
62	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	1.5	0.8
63	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	1.5	1.0
64	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.0	0.5
65	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.0	0.7
66	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.0	0.8
67	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.0	1.0
68	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.5	0.5
69	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.5	0.7
70	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.5	0.8
71	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/2_run_5928/synWeights_final.pkl	9593185	1.0	2.5	1.0
72	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	1.5	0.5
73	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	1.5	0.7
74	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	1.5	0.8
75	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	1.5	1.0
76	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.0	0.5
77	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.0	0.7
78	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.0	0.8
79	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.0	1.0
80	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.5	0.5
81	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.5	0.7
82	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.5	0.8
83	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.8	2.5	1.0
84	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	1.5	0.5
85	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	1.5	0.7
86	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	1.5	0.8
87	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	1.5	1.0
88	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.0	0.5
89	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.0	0.7
90	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.0	0.8
91	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.0	1.0
92	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.5	0.5
93	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.5	0.7
94	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.5	0.8
95	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	0.9	2.5	1.0
