run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
9758	58.0	51.0	47.0	51.89	7.386100000000001	4.310525
18963	70.0	57.0	55.0	58.43	8.9084125	5.9837125
18917	48.0	44.0	40.0	48.12	9.03165	7.271675
21400	76.0	70.0	65.0	70.67	9.647225	6.010199999999999
34721	70.0	66.0	56.0	59.03	6.659650000000001	5.43355
26991	81.0	78.0	74.0	76.16	7.0868875000000005	5.415312500000001
37107	49.0	43.0	41.0	45.19	10.0603125	8.1301375
22144	50.0	48.0	45.0	48.43	3.0847124999999997	2.8524875
15792	48.0	42.0	41.0	47.07	11.054174999999999	8.2991
15738	60.0	55.0	53.0	57.49	5.950912499999999	4.3139125
20792	62.0	57.0	54.0	59.2	6.944425	8.315075
35176	69.0	51.0	49.0	58.63	6.651187500000001	5.404037499999999
22513	64.0	59.0	58.0	63.22	5.0852125	3.3523125
21974	71.0	63.0	59.0	66.04	5.1066625000000005	3.7551625
3535	69.0	61.0	61.0	65.59	4.4747875	2.8323
9596	81.0	74.0	67.0	74.99	8.5929875	5.6996875000000005
38217	57.0	45.0	44.0	48.12	10.53405	8.223175000000001
21524	90.0	64.0	62.0	73.52	5.015375000000001	3.8163375000000004
8231	82.0	71.0	70.0	70.71	8.860425	5.6015875
6427	56.0	45.0	43.0	47.37	10.3960375	8.024625
11815	105.0	85.0	82.0	91.62	5.6543125000000005	3.8543374999999997
27937	51.0	44.0	41.0	46.32	10.3574625	7.664525
3236	105.0	92.0	84.0	86.06	6.0702625	5.2325
2382	68.0	54.0	51.0	58.91	8.395900000000001	5.7579125
489	78.0	62.0	60.0	64.98	8.096025000000001	5.4353125
34070	55.0	48.0	46.0	50.12	8.734125	5.494775
29899	59.0	55.0	53.0	56.71	5.9899125	5.4366875
16619	72.0	65.0	62.0	63.96	7.5432749999999995	5.414975
20820	80.0	71.0	65.0	67.83	6.9845	5.444125
12689	67.0	59.0	55.0	58.5	10.2137375	7.3861125
34394	62.0	58.0	53.0	59.2	6.2603375	5.43445
10765	90.0	79.0	74.0	82.11	8.460424999999999	5.3960875
21575	95.0	85.0	79.0	80.02	9.569162500000001	6.3273625000000004
32346	98.0	78.0	77.0	81.53	6.8304374999999995	5.278875
37211	81.0	78.0	70.0	70.43	6.8660250000000005	5.4195125
