run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
0	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	1.0	False
1	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	1.0	True
2	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	2.0	False
3	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	2.0	True
4	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	3.0	False
5	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	1.0	3.0	True
6	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	1.0	False
7	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	1.0	True
8	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	2.0	False
9	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	2.0	True
10	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	3.0	False
11	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	2.0	3.0	True
12	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	1.0	False
13	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	1.0	True
14	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	2.0	False
15	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	2.0	True
16	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	3.0	False
17	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	3.0	True
18	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	1.0	False
19	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	1.0	True
20	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	2.0	False
21	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	2.0	True
22	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	3.0	False
23	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	1.0	3.0	True
24	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	1.0	False
25	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	1.0	True
26	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	2.0	False
27	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	2.0	True
28	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	3.0	False
29	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	2.0	3.0	True
30	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	1.0	False
31	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	1.0	True
32	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	False
33	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	True
34	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	3.0	False
35	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	3.0	True
36	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	1.0	False
37	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	1.0	True
38	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	2.0	False
39	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	2.0	True
40	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	3.0	False
41	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	1.0	3.0	True
42	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	1.0	False
43	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	1.0	True
44	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	2.0	False
45	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	2.0	True
46	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	3.0	False
47	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	2.0	3.0	True
48	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	1.0	False
49	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	1.0	True
50	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	2.0	False
51	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	2.0	True
52	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	3.0	False
53	0.025	-0.025	5	5	0	0.0	0.5	2.0	False	3.0	3.0	True
54	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	1.0	False
55	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	1.0	True
56	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	2.0	False
57	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	2.0	True
58	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	3.0	False
59	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	1.0	3.0	True
60	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	1.0	False
61	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	1.0	True
62	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	2.0	False
63	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	2.0	True
64	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	3.0	False
65	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	2.0	3.0	True
66	0.025	-0.025	5	5	0	0.0	0.5	2.0	True	3.0	1.0	False
