run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA
7226	111.0	68.0	63.0	79.66	8.25275	6.110799999999999
5694	100.0	87.0	77.0	80.55	9.513549999999999	6.4884125
4178	95.0	78.0	74.0	82.02	8.2193875	6.1452875
1226	66.0	55.0	54.0	61.27	8.442825000000001	6.3121
5929	105.0	77.0	67.0	78.5	8.259075	6.0969
7466	109.0	84.0	66.0	76.39	8.85005	6.2169
2976	86.0	73.0	63.0	69.74	8.271375	6.21575
3934	86.0	69.0	55.0	69.65	10.021375	6.469775
1298	78.0	58.0	49.0	65.44	8.793775	6.3366999999999996
2192	90.0	84.0	65.0	76.38	8.26465	6.075125
1363	107.0	80.0	62.0	73.49	8.439725	6.250075
2335	87.0	60.0	54.0	64.67	12.280075	8.252775
4893	102.0	80.0	60.0	75.39	8.420375	6.1531
3916	95.0	79.0	70.0	80.49	8.543725	6.1812249999999995
3056	93.0	85.0	68.0	73.61	8.169799999999999	6.0886499999999995
1043	89.0	69.0	66.0	73.53	8.247125	6.225675
1144	74.0	71.0	59.0	71.16	8.1716	6.222475
2347	92.0	65.0	60.0	67.7	11.5861	7.982075
7255	100.0	80.0	71.0	79.22	8.2237	5.885225
2545	89.0	65.0	60.0	70.3	8.831125	7.098775000000001
6185	92.0	89.0	72.0	78.76	8.115725000000001	5.857075
5877	103.0	80.0	65.0	73.35	8.5258	6.254175
958	101.0	76.0	65.0	83.53	7.4944749999999996	5.338775
5526	85.0	77.0	69.0	80.35	8.38615	5.97475
1117	77.0	68.0	58.0	71.15	8.56315	6.118975
4804	87.0	63.0	60.0	66.46	9.029675000000001	7.1606250000000005
3721	89.0	68.0	57.0	66.75	9.028625	6.47265
7427	105.0	79.0	65.0	75.66	8.222825	5.9228499999999995
1616	94.0	73.0	68.0	79.77	8.063725	6.008775
5497	88.0	80.0	71.0	81.65	7.93895	5.979925
1306	68.0	58.0	50.0	61.99	9.645275	6.7384
5541	96.0	79.0	58.0	69.25	8.322849999999999	6.189075
4519	114.0	89.0	81.0	84.11	7.508799999999999	5.465400000000001
3372	80.0	69.0	64.0	74.98	8.44755	6.168175
6860	121.0	90.0	81.0	87.14	8.2203	5.970775
146	79.0	65.0	59.0	70.03	9.10625	6.3645000000000005
7760	81.0	76.0	68.0	76.62	8.197199999999999	5.984675
1389	93.0	70.0	69.0	76.15	8.4655	5.9889
663	58.0	54.0	48.0	58.18	13.739275000000001	8.7666
