post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
43.8,42.239999999999995,33.0,46.2,38.0,38.0,17.0,68.0,8.450262364716444
44.5,42.9,37.4,48.0,36.0,40.6,16.0,74.0,8.445410964486731
41.1,40.44,38.4,43.0,30.0,35.2,20.0,59.0,8.453143377131314
45.1,44.96,42.7,46.3,44.0,37.2,19.0,52.0,8.460968927886988
43.4,42.58,32.8,52.9,46.0,43.6,30.0,58.0,8.465042816459407
37.1,35.82,30.1,37.9,43.0,39.0,23.0,47.0,8.451519548856348
46.5,44.440000000000005,35.3,52.2,53.0,51.0,29.0,65.0,8.45288966785637
43.3,43.419999999999995,41.6,45.1,48.0,46.2,21.0,65.0,8.45015259411868
48.7,46.800000000000004,38.2,55.5,43.0,39.8,21.0,50.0,8.446048668926306
41.5,45.62,40.4,58.4,38.0,39.0,17.0,77.0,8.452289925058459
46.1,45.04,29.3,63.5,54.0,51.4,29.0,65.0,8.456690440823662
50.7,47.02,32.9,59.8,64.0,53.4,19.0,73.0,8.459443774495936
47.7,48.54,44.1,54.8,40.0,44.2,32.0,56.0,8.474614535843164
36.8,37.7,35.2,41.1,72.0,64.0,28.0,100.0,8.460510376500794
41.2,45.2,39.8,55.0,57.0,51.6,19.0,87.0,8.45012070566004
41.1,41.67999999999999,39.8,44.9,49.0,46.6,37.0,53.0,8.449166068984718
42.6,43.84,37.4,53.0,42.0,41.6,31.0,57.0,8.459709433739528
42.0,42.98,40.3,47.2,51.0,47.0,23.0,63.0,8.45153018664418
48.4,49.459999999999994,41.3,59.2,42.0,42.8,30.0,57.0,8.476159962818922
49.1,46.46,37.1,57.7,49.0,51.2,40.0,71.0,8.481947333808671
40.8,40.8,35.9,46.1,40.0,41.6,28.0,61.0,8.48935366894993
42.1,44.019999999999996,39.7,50.0,59.0,58.6,44.0,72.0,8.49012708830338
41.5,41.7,35.4,47.4,47.0,59.6,43.0,106.0,8.480168101284638
45.5,44.84,34.1,52.1,49.0,41.0,10.0,54.0,8.463319882494128
44.2,44.78,42.4,48.7,46.0,42.4,26.0,52.0,8.469545775186269
44.8,44.160000000000004,35.9,49.3,43.0,42.0,35.0,51.0,8.45671644038485
46.9,49.12,43.7,55.3,89.0,80.8,39.0,99.0,8.458187500132503
51.5,50.64,39.0,58.6,68.0,70.6,34.0,105.0,8.450404776043012
46.9,45.12,37.1,47.7,48.0,57.4,33.0,90.0,8.43541354582595
46.2,47.11999999999999,39.4,60.3,49.0,47.2,36.0,61.0,8.437820530657381
47.9,48.38,42.5,56.1,62.0,67.8,48.0,87.0,8.434882400800209
53.3,52.67999999999999,41.9,60.8,55.0,61.8,53.0,86.0,8.444843419747649
50.0,52.96,46.9,61.0,93.0,106.0,64.0,186.0,8.441747356537997
47.1,45.86,34.6,53.3,41.0,48.2,35.0,64.0,8.449575013625683
53.1,52.48,46.0,59.2,50.0,59.0,40.0,78.0,8.44180759639477
52.0,50.38000000000001,43.7,55.6,51.0,47.6,30.0,60.0,8.450550618887
46.4,45.98,38.7,56.3,64.0,63.8,55.0,73.0,8.444321287495285
48.6,49.120000000000005,42.1,59.2,59.0,90.0,41.0,199.0,8.439925256656677
56.8,51.839999999999996,41.7,60.3,39.0,59.6,20.0,148.0,8.44376398475647
